WEATHER_TIME,CITY_ID,CITY_NAME,COUNTRY,CITY_LATITUDE,CITY_LONGITUDE,CLOUDS,HUMIDITY,MIN_TEMP,MAX_TEMP,WEATHER,WEATHER_DESC,WIND_DEG,WIND_SPEED
2016-11-20T02:01:28.000Z,5128581,New York,US,40.714272,40.714272,90,87,282.15,286.15,Rain,light rain,0,1.5
2016-11-20T06:59:15.000Z,5128581,New York,US,40.714272,40.714272,90,93,273.15,278.15,Rain,heavy intensity rain,280,4.6
2016-09-02T23:29:46.000Z,5128581,New York,US,40.714272,40.714272,75,41,294.15,300.15,Clouds,broken clouds,20,6.2
2016-09-05T02:29:12.000Z,5128581,New York,US,40.714272,40.714272,20,64,287.59,297.15,Clouds,few clouds,120,1.5
2016-09-08T20:31:35.000Z,5128581,New York,US,40.714272,40.714272,20,55,299.15,307.15,Clouds,few clouds,0,3.1
2016-09-15T04:23:58.000Z,5128581,New York,US,40.714272,40.714272,40,68,290.15,297.59,Clouds,scattered clouds,10,2.6
2016-09-14T11:26:22.000Z,5128581,New York,US,40.714272,40.714272,5,93,288.15,295.15,Rain,light rain,170,2.1
2016-09-14T04:23:47.000Z,5128581,New York,US,40.714272,40.714272,1,77,292.04,296.15,Clear,sky is clear,210,1.5
2016-09-13T08:10:18.000Z,5128581,New York,US,40.714272,40.714272,1,82,283.15,294.15,Mist,mist,229.506,2.51
2016-09-17T19:03:39.000Z,5128581,New York,US,40.714272,40.714272,40,60,295.37,299.26,Clouds,scattered clouds,120,4.6
2016-08-08T16:03:47.000Z,5128581,New York,US,40.714272,40.714272,0,46,298.71,303.71,Clear,Sky is Clear,47.0033,1.41
2016-08-13T14:30:57.000Z,5128581,New York,US,40.714272,40.714272,48,66,303.15,305.93,Clouds,scattered clouds,206.006,2.26
2016-08-08T06:23:46.000Z,5128581,New York,US,40.714272,40.714272,56,48,292.04,299.25,Clouds,broken clouds,344.002,2.06
2016-08-09T06:03:32.000Z,5128581,New York,US,40.714272,40.714272,0,66,288.15,298.15,Clear,Sky is Clear,57.0007,1.22
2016-08-10T02:03:19.000Z,5128581,New York,US,40.714272,40.714272,0,63,297.331,297.331,Clear,Sky is Clear,196.009,3.35
2016-11-22T11:23:44.000Z,5128581,New York,US,40.714272,40.714272,90,47,274.15,277.15,Snow,light snow,320,5.1
2016-11-27T06:58:48.000Z,5128581,New York,US,40.714272,40.714272,1,100,270.15,280.15,Mist,mist,312.503,3.46
2016-11-27T11:30:46.000Z,5128581,New York,US,40.714272,40.714272,1,100,271.15,277.15,Mist,mist,310.502,4.09
2016-12-03T03:01:32.000Z,5128581,New York,US,40.714272,40.714272,75,60,278.15,282.15,Clouds,broken clouds,270,3.6
2016-12-12T20:42:02.000Z,5128581,New York,US,40.714272,40.714272,90,75,276.15,281.15,Haze,haze,310,5.1
2016-11-26T11:37:39.000Z,5128581,New York,US,40.714272,40.714272,1,81,274.15,282.15,Mist,mist,320,1.5
2016-11-26T16:07:02.000Z,5128581,New York,US,40.714272,40.714272,90,61,279.15,282.15,Clouds,overcast clouds,30,3.6
2017-01-19T23:43:00.000Z,5128581,New York,US,40.714272,40.714272,90,92,277.15,280.15,Rain,light rain,320,2.6
2017-02-20T05:06:27.000Z,5128581,New York,US,40.714272,40.714272,0,92,276.684,276.684,Clear,Sky is Clear,319.506,3.46
2017-02-26T13:51:13.000Z,5128581,New York,US,40.714272,40.714272,75,47,274.15,277.15,Clouds,broken clouds,300,5.7
2017-02-26T17:54:33.000Z,5128581,New York,US,40.714272,40.714272,75,35,275.15,279.15,Clouds,broken clouds,320,6.2
2017-03-18T01:09:51.000Z,5128581,New York,US,40.714272,40.714272,1,35,273.15,280.15,Clear,sky is clear,236.001,3.51
2017-03-18T02:03:13.000Z,5128581,New York,US,40.714272,40.714272,1,38,271.15,279.15,Clear,sky is clear,251.502,3.85
2017-03-27T17:02:28.000Z,5128581,New York,US,40.714272,40.714272,90,81,278.15,282.15,Mist,mist,50,1.5
2017-03-27T19:02:33.000Z,5128581,New York,US,40.714272,40.714272,90,81,279.15,285.15,Mist,mist,70,3.6
2017-03-29T15:03:59.000Z,5128581,New York,US,40.714272,40.714272,75,61,280.15,283.15,Clouds,broken clouds,330,4.1
2017-03-29T16:07:36.000Z,5128581,New York,US,40.714272,40.714272,40,50,282.15,285.15,Rain,light rain,340,6.7
2017-04-05T20:11:19.000Z,5128581,New York,US,40.714272,40.714272,75,51,286.15,289.15,Clouds,broken clouds,70,3.1
2017-04-05T21:03:15.000Z,5128581,New York,US,40.714272,40.714272,40,48,286.15,290.15,Clouds,scattered clouds,110,3.6
2017-03-23T08:03:09.000Z,5128581,New York,US,40.714272,40.714272,1,45,265.15,270.15,Clear,sky is clear,329.501,3.97
2017-03-23T10:03:28.000Z,5128581,New York,US,40.714272,40.714272,1,49,263.15,270.15,Clear,sky is clear,320,4.1
2017-04-11T02:09:56.000Z,5128581,New York,US,40.714272,40.714272,75,37,286.15,297.15,Clouds,broken clouds,230,3.1
2017-04-11T03:05:11.000Z,5128581,New York,US,40.714272,40.714272,1,40,285.15,296.15,Clear,sky is clear,230,2.1
2017-05-01T20:03:05.000Z,5128581,New York,US,40.714272,40.714272,40,67,290.15,300.15,Clouds,scattered clouds,50,5.7
2017-05-01T22:02:40.000Z,5128581,New York,US,40.714272,40.714272,40,72,290.15,300.15,Clouds,scattered clouds,50,5.7
2017-04-26T08:10:37.000Z,5128581,New York,US,40.714272,40.714272,90,100,283.15,286.15,Drizzle,light intensity drizzle,10,6.2
2017-04-26T09:03:24.000Z,5128581,New York,US,40.714272,40.714272,90,100,283.15,286.15,Rain,moderate rain,20,5.7
2017-05-05T14:10:01.000Z,5128581,New York,US,40.714272,40.714272,90,87,282.15,287.15,Rain,moderate rain,120,6.2
2017-05-05T15:08:57.000Z,5128581,New York,US,40.714272,40.714272,90,87,283.15,286.15,Rain,heavy intensity rain,130,9.3
2017-05-09T05:03:21.000Z,5128581,New York,US,40.714272,40.714272,75,53,279.15,286.15,Clouds,broken clouds,310,3.1
2017-05-09T06:08:07.000Z,5128581,New York,US,40.714272,40.714272,90,53,279.15,285.15,Clouds,overcast clouds,10,2.6
2017-05-22T06:02:33.000Z,5128581,New York,US,40.714272,40.714272,90,67,285.15,289.15,Rain,light rain,180,2.1
2017-05-22T07:06:32.000Z,5128581,New York,US,40.714272,40.714272,90,67,285.15,288.15,Rain,moderate rain,160,2.1
2017-05-12T05:04:00.000Z,5128581,New York,US,40.714272,40.714272,1,71,278.15,285.15,Clear,sky is clear,138.5,1.76
2017-05-12T06:09:09.000Z,5128581,New York,US,40.714272,40.714272,1,76,278.15,285.15,Clear,sky is clear,138.5,1.76
2017-05-29T09:06:25.000Z,5128581,New York,US,40.714272,40.714272,90,87,286.15,288.15,Rain,light rain,100,4.1
2017-05-29T10:02:32.000Z,5128581,New York,US,40.714272,40.714272,90,87,286.15,287.15,Rain,moderate rain,90,5.1
2017-06-02T02:02:37.000Z,5128581,New York,US,40.714272,40.714272,1,35,288.15,297.15,Clear,sky is clear,260,2.1
2017-06-02T03:06:32.000Z,5128581,New York,US,40.714272,40.714272,1,37,287.15,297.15,Clear,sky is clear,260,2.6
2017-06-07T04:05:53.000Z,5128581,New York,US,40.714272,40.714272,90,76,283.15,285.15,Rain,light rain,70,3.1
2017-06-07T05:02:59.000Z,5128581,New York,US,40.714272,40.714272,90,71,283.15,285.15,Clouds,overcast clouds,39.5005,3.66
2017-06-16T04:05:59.000Z,5128581,New York,US,40.714272,40.714272,1,77,288.15,292.15,Clear,sky is clear,129.501,3.41
2017-06-16T05:02:44.000Z,5128581,New York,US,40.714272,40.714272,75,72,287.15,292.15,Clouds,broken clouds,130,3.6
2017-06-18T12:03:30.000Z,5128581,New York,US,40.714272,40.714272,90,100,294.15,296.15,Mist,mist,188.501,2.61
2017-06-18T13:05:22.000Z,5128581,New York,US,40.714272,40.714272,90,94,295.15,297.15,Mist,mist,188.501,2.61
2017-06-28T03:07:32.000Z,5128581,New York,US,40.714272,40.714272,1,52,287.15,296.15,Clear,sky is clear,29.0063,1.22
2017-06-28T04:03:15.000Z,5128581,New York,US,40.714272,40.714272,1,63,286.15,294.15,Mist,mist,29.0063,1.22
2017-06-30T09:06:43.000Z,5128581,New York,US,40.714272,40.714272,1,64,293.15,297.15,Clear,sky is clear,260,2.1
2017-06-30T10:02:46.000Z,5128581,New York,US,40.714272,40.714272,75,64,292.15,297.15,Clouds,broken clouds,216.503,4.32
2017-06-28T09:06:19.000Z,5128581,New York,US,40.714272,40.714272,1,72,282.15,291.15,Clear,sky is clear,301.517,2.71
2017-06-28T10:08:00.000Z,5128581,New York,US,40.714272,40.714272,1,76,282.15,291.15,Clear,sky is clear,301.517,2.71
2017-07-06T08:06:18.000Z,5128581,New York,US,40.714272,40.714272,1,83,290.15,295.15,Clear,sky is clear,102.503,2.14
2017-07-06T09:03:11.000Z,5128581,New York,US,40.714272,40.714272,1,83,290.15,295.15,Clear,sky is clear,102.503,2.14
2017-07-02T05:03:13.000Z,5128581,New York,US,40.714272,40.714272,75,94,293.15,296.15,Mist,mist,240,5.1
2017-07-02T06:06:51.000Z,5128581,New York,US,40.714272,40.714272,90,94,294.15,296.15,Mist,mist,241.502,2.3
2017-07-04T17:03:04.000Z,5128581,New York,US,40.714272,40.714272,1,37,299.15,301.15,Clear,sky is clear,244.502,1.31
2017-07-04T18:07:02.000Z,5128581,New York,US,40.714272,40.714272,40,48,300.15,301.15,Clouds,scattered clouds,90,2.6
2017-07-30T22:06:16.000Z,5128581,New York,US,40.714272,40.714272,1,36,297.15,301.15,Clear,sky is clear,0,1.5
2017-07-30T23:02:25.000Z,5128581,New York,US,40.714272,40.714272,1,39,297.15,301.15,Clear,sky is clear,0,1.5
2017-08-04T15:06:43.000Z,5128581,New York,US,40.714272,40.714272,20,88,298.15,301.15,Clouds,few clouds,142.5,1.91
2017-08-04T16:02:31.000Z,5128581,New York,US,40.714272,40.714272,1,78,300.15,301.15,Clear,sky is clear,180,3.1
2017-07-23T12:05:03.000Z,5128581,New York,US,40.714272,40.714272,90,94,294.15,297.15,Mist,mist,56.5027,2.56
2017-07-23T13:03:57.000Z,5128581,New York,US,40.714272,40.714272,90,94,295.15,297.15,Mist,mist,56.5027,2.56
2017-08-18T20:03:23.000Z,5128581,New York,US,40.714272,40.714272,90,78,299.15,302.15,Rain,light rain,180,1.5
2017-08-18T21:06:15.000Z,5128581,New York,US,40.714272,40.714272,75,88,299.15,302.15,Mist,mist,0,2.6
